site_id,zone_id,site_name,latitude,longitude,site_type,available_grid_capacity_kw,road_accessibility_score,distance_to_nearest_station_km,land_availability,zone_name,demand_pressure_score,projected_6m_kw,projected_12m_kw,demand_score,grid_score,accessibility_score,coverage_gap_score,opportunity_score,demand_contribution,grid_contribution,accessibility_contribution,coverage_contribution,confidence_tier
S011,Z003,HSR Layout Mall Parking Deck,12.9082,77.6314,parking_lot,139,0.74,1.3,available,HSR Layout,39.285714285714285,16.48416378032252,17.254143422279498,39.285714285714285,27.800000000000004,74.0,26.0,38.3,13.749999999999998,6.950000000000001,11.1,6.5,Medium
S012,Z003,HSR Layout Mall Parking Deck,12.9099,77.6306,parking_lot,313,0.62,1.1,pending_approval,HSR Layout,39.285714285714285,16.48416378032252,17.254143422279498,39.285714285714285,62.6,62.0,22.000000000000004,44.199999999999996,13.749999999999998,15.65,9.299999999999999,5.500000000000001,Medium
S013,Z004,Indiranagar Phoenix Marketcity Lot,12.9725,77.65,commercial_complex,350,0.71,0.3,pending_approval,Indiranagar,76.0,56.247798675020455,59.938682802456285,76.0,70.0,71.0,6.0,56.24999999999999,26.599999999999998,17.5,10.65,1.5,Medium
S014,Z004,Indiranagar Highway Rest Stop,12.978,77.6549,highway_node,404,0.8,1.4,pending_approval,Indiranagar,76.0,56.247798675020455,59.938682802456285,76.0,80.80000000000001,80.0,27.999999999999996,65.8,26.599999999999998,20.200000000000003,12.0,6.999999999999999,Medium
S015,Z004,Indiranagar Mall Parking Deck,12.9714,77.6414,parking_lot,164,0.7,1.0,available,Indiranagar,76.0,56.247798675020455,59.938682802456285,76.0,32.800000000000004,70.0,20.0,50.3,26.599999999999998,8.200000000000001,10.5,5.0,Medium
S016,Z005,Electronic City Metro Parking Lot,12.8293,77.6864,parking_lot,242,0.59,0.4,available,Electronic City,72.28571428571428,87.31382218815507,98.76297858345461,72.28571428571428,48.4,59.0,8.0,48.25,25.299999999999997,12.1,8.85,2.0,Medium
S017,Z005,Electronic City Mantri Square Bay,12.8322,77.6731,commercial_complex,374,0.91,1.4,available,Electronic City,72.28571428571428,87.31382218815507,98.76297858345461,72.28571428571428,74.8,91.0,27.999999999999996,64.64999999999999,25.299999999999997,18.7,13.65,6.999999999999999,Medium
S018,Z005,Electronic City Sobha Dream Acres Lot,12.8503,77.6751,residential_complex,179,0.51,1.3,available,Electronic City,72.28571428571428,87.31382218815507,98.76297858345461,72.28571428571428,35.8,51.0,26.0,48.4,25.299999999999997,8.95,7.6499999999999995,6.5,Medium
S019,Z005,Electronic City IT Park Lot,12.8277,77.6753,parking_lot,176,0.58,1.0,available,Electronic City,72.28571428571428,87.31382218815507,98.76297858345461,72.28571428571428,35.199999999999996,57.99999999999999,20.0,47.8,25.299999999999997,8.799999999999999,8.7,5.0,Medium
S020,Z006,Marathahalli Shell Fuel Point,12.9627,77.6854,fuel_station,171,0.98,0.3,pending_approval,Marathahalli,90.28571428571428,96.25753445441245,109.34909495714899,90.28571428571428,34.2,98.0,6.0,56.349999999999994,31.599999999999994,8.55,14.7,1.5,Medium
S021,Z006,Marathahalli IT Park Lot,12.9527,77.6909,parking_lot,197,0.63,1.0,available,Marathahalli,90.28571428571428,96.25753445441245,109.34909495714899,90.28571428571428,39.4,63.0,20.0,55.89999999999999,31.599999999999994,9.85,9.45,5.0,Medium
S022,Z006,Marathahalli Highway Rest Stop,12.965,77.6923,highway_node,410,0.81,1.3,pending_approval,Marathahalli,90.28571428571428,96.25753445441245,109.34909495714899,90.28571428571428,82.0,81.0,26.0,70.75,31.599999999999994,20.5,12.15,6.5,Medium
S023,Z007,Bellandur Bharat Petroleum Station,12.9295,77.6666,fuel_station,113,0.93,5.9,available,Bellandur,62.57142857142857,54.80496590763032,59.73176550456908,62.57142857142857,22.6,93.0,100.0,66.5,21.9,5.65,13.95,25.0,Medium
S024,Z007,Bellandur Mantri Square Bay,12.9309,77.6728,commercial_complex,347,0.7,5.1,available,Bellandur,62.57142857142857,54.80496590763032,59.73176550456908,62.57142857142857,69.39999999999999,70.0,100.0,74.75,21.9,17.349999999999998,10.5,25.0,High
S025,Z007,Bellandur Brigade Gateway,12.914,77.6806,commercial_complex,340,0.84,5.2,available,Bellandur,62.57142857142857,54.80496590763032,59.73176550456908,62.57142857142857,68.0,84.0,100.0,76.5,21.9,17.0,12.6,25.0,High
S026,Z008,Sarjapur Road Brigade Gateway,12.9098,77.68,commercial_complex,280,0.86,1.0,available,Sarjapur Road,83.7142857142857,75.2639068251393,87.89759031788952,83.7142857142857,56.00000000000001,86.0,20.0,61.19999999999999,29.29999999999999,14.000000000000002,12.9,5.0,Medium
S027,Z008,Sarjapur Road Metro East Exit Plaza,12.8907,77.6821,metro_station,426,0.85,2.7,available,Sarjapur Road,83.7142857142857,75.2639068251393,87.89759031788952,83.7142857142857,85.2,85.0,54.0,76.85,29.29999999999999,21.3,12.75,13.5,High
S028,Z008,Sarjapur Road Metro Station Forecourt,12.8957,77.6857,metro_station,421,0.82,3.2,available,Sarjapur Road,83.7142857142857,75.2639068251393,87.89759031788952,83.7142857142857,84.2,82.0,64.0,78.64999999999999,29.29999999999999,21.05,12.299999999999999,16.0,High
S029,Z009,BTM Layout Shell Fuel Point,12.924,77.6134,fuel_station,249,0.89,1.4,pending_approval,BTM Layout,44.14285714285714,19.551128490427146,20.835055171040985,44.14285714285714,49.8,89.0,27.999999999999996,48.25,15.449999999999998,12.45,13.35,6.999999999999999,Medium
S030,Z009,BTM Layout Metro Parking Lot,12.9287,77.5971,parking_lot,339,0.61,1.4,available,BTM Layout,44.14285714285714,19.551128490427146,20.835055171040985,44.14285714285714,67.80000000000001,61.0,27.999999999999996,48.55,15.449999999999998,16.950000000000003,9.15,6.999999999999999,Medium
S031,Z009,BTM Layout IT Park Lot,12.9143,77.6112,parking_lot,344,0.84,0.9,available,BTM Layout,44.14285714285714,19.551128490427146,20.835055171040985,44.14285714285714,68.8,84.0,18.0,49.75,15.449999999999998,17.2,12.6,4.5,Medium
S032,Z010,Jayanagar Mall Parking Deck,12.9343,77.5898,parking_lot,223,0.79,1.4,available,Jayanagar,61.428571428571416,36.715589821671024,39.67709348327974,61.428571428571416,44.6,79.0,27.999999999999996,51.49999999999999,21.499999999999993,11.15,11.85,6.999999999999999,Medium
S033,Z010,Jayanagar IT Park Lot,12.9351,77.5944,parking_lot,302,0.84,1.3,available,Jayanagar,61.428571428571416,36.715589821671024,39.67709348327974,61.428571428571416,60.4,84.0,26.0,55.699999999999996,21.499999999999993,15.1,12.6,6.5,Medium
S034,Z010,Jayanagar Forum Mall Basement,12.9419,77.5896,commercial_complex,170,0.89,3.7,available,Jayanagar,61.428571428571416,36.715589821671024,39.67709348327974,61.428571428571416,34.0,89.0,74.0,61.849999999999994,21.499999999999993,8.5,13.35,18.5,Medium
S035,Z011,Banashankari Metro East Exit Plaza,12.9266,77.5555,metro_station,251,0.87,2.4,pending_approval,Banashankari,59.99999999999999,31.22450740213638,33.370725849958376,59.99999999999999,50.2,87.0,48.0,58.599999999999994,20.999999999999996,12.55,13.049999999999999,12.0,Medium
S036,Z011,Banashankari Metro Parking Lot,12.9157,77.5344,parking_lot,319,0.68,2.2,available,Banashankari,59.99999999999999,31.22450740213638,33.370725849958376,59.99999999999999,63.800000000000004,68.0,44.00000000000001,58.14999999999999,20.999999999999996,15.950000000000001,10.2,11.000000000000002,Medium
S037,Z011,Banashankari Metro Parking Lot,12.9273,77.5364,parking_lot,241,0.63,2.7,pending_approval,Banashankari,59.99999999999999,31.22450740213638,33.370725849958376,59.99999999999999,48.199999999999996,63.0,54.0,56.0,20.999999999999996,12.049999999999999,9.45,13.5,Medium
S038,Z012,JP Nagar Phoenix Marketcity Lot,12.914,77.5761,commercial_complex,191,0.71,2.6,available,JP Nagar,61.85714285714286,26.578601033776966,29.34580304081727,61.85714285714286,38.2,71.0,52.0,54.85,21.65,9.55,10.65,13.0,Medium
S039,Z012,JP Nagar Public Parking Facility,12.9075,77.5847,parking_lot,192,0.76,1.1,available,JP Nagar,61.85714285714286,26.578601033776966,29.34580304081727,61.85714285714286,38.4,76.0,22.000000000000004,48.15,21.65,9.6,11.4,5.500000000000001,Medium
S040,Z013,Hebbal Sobha Dream Acres Lot,13.042,77.6103,residential_complex,70,0.54,1.3,restricted,Hebbal,31.428571428571423,13.524178007532496,14.155767251123015,31.428571428571423,14.000000000000002,54.0,26.0,29.099999999999998,10.999999999999998,3.5000000000000004,8.1,6.5,Needs Field Survey
S041,Z013,Hebbal Purva Skydale Bay,13.0426,77.5931,residential_complex,100,0.44,0.4,pending_approval,Hebbal,31.428571428571423,13.524178007532496,14.155767251123015,31.428571428571423,20.0,44.0,8.0,24.599999999999998,10.999999999999998,5.0,6.6,2.0,Medium
S042,Z013,Hebbal Metro Parking Lot,13.0368,77.5847,parking_lot,157,0.76,0.3,available,Hebbal,31.428571428571423,13.524178007532496,14.155767251123015,31.428571428571423,31.4,76.0,6.0,31.75,10.999999999999998,7.85,11.4,1.5,Medium
S043,Z014,Yelahanka Brigade Gateway,13.0992,77.5821,commercial_complex,278,0.72,1.5,pending_approval,Yelahanka,62.42857142857142,38.50003481659855,41.10615804575921,62.42857142857142,55.60000000000001,72.0,30.0,54.05,21.849999999999998,13.900000000000002,10.799999999999999,7.5,Medium
S044,Z014,Yelahanka Metro Parking Lot,13.093,77.6006,parking_lot,124,0.59,1.3,pending_approval,Yelahanka,62.42857142857142,38.50003481659855,41.10615804575921,62.42857142857142,24.8,59.0,26.0,43.4,21.849999999999998,6.2,8.85,6.5,Medium
S045,Z014,Yelahanka NH Junction Node,13.1118,77.5867,highway_node,329,0.81,3.9,available,Yelahanka,62.42857142857142,38.50003481659855,41.10615804575921,62.42857142857142,65.8,81.0,78.0,69.94999999999999,21.849999999999998,16.45,12.15,19.5,Medium
S046,Z014,Yelahanka Metro Park-and-Ride,13.1075,77.5984,metro_station,217,0.7,1.9,available,Yelahanka,62.42857142857142,38.50003481659855,41.10615804575921,62.42857142857142,43.4,70.0,38.0,52.699999999999996,21.849999999999998,10.85,10.5,9.5,Medium
S047,Z015,Bagalur Shell Fuel Point,13.1353,77.7809,fuel_station,255,0.93,3.4,available,Bagalur,72.28571428571429,58.53624468198326,68.81686721365625,72.28571428571429,51.0,93.0,68.0,69.0,25.3,12.75,13.95,17.0,Medium
S048,Z016,KR Puram Metro Parking Lot,13.0173,77.6938,parking_lot,347,0.58,1.1,pending_approval,KR Puram,33.42857142857142,14.70580866758273,15.423620442833677,33.42857142857142,69.39999999999999,57.99999999999999,22.000000000000004,43.25,11.699999999999998,17.349999999999998,8.7,5.500000000000001,Medium
S049,Z016,KR Puram Metro East Exit Plaza,13.0021,77.6979,metro_station,212,0.71,1.6,available,KR Puram,33.42857142857142,14.70580866758273,15.423620442833677,33.42857142857142,42.4,71.0,32.0,40.949999999999996,11.699999999999998,10.6,10.65,8.0,Medium
S050,Z017,Mahadevapura Sobha Dream Acres Lot,13.0014,77.7185,residential_complex,181,0.55,2.4,restricted,Mahadevapura,75.85714285714285,91.91890157509691,104.178657605294,75.85714285714285,36.199999999999996,55.00000000000001,48.0,55.849999999999994,26.549999999999994,9.049999999999999,8.25,12.0,Needs Field Survey
S051,Z018,Hoskote Mall Parking Deck,13.0852,77.8005,parking_lot,275,0.77,2.8,pending_approval,Hoskote,35.714285714285715,11.462247823940386,13.435391601924087,35.714285714285715,55.00000000000001,77.0,55.99999999999999,51.8,12.5,13.750000000000002,11.549999999999999,13.999999999999998,Medium
S052,Z018,Hoskote Indian Oil Pump,13.0663,77.8063,fuel_station,177,0.86,1.4,available,Hoskote,35.714285714285715,11.462247823940386,13.435391601924087,35.714285714285715,35.4,86.0,27.999999999999996,41.25,12.5,8.85,12.9,6.999999999999999,Medium
S053,Z019,Rajajinagar Metro Station Forecourt,12.9882,77.5481,metro_station,342,0.81,2.0,available,Rajajinagar,60.857142857142854,35.765133318347935,38.49119279239715,60.857142857142854,68.4,81.0,40.0,60.55,21.299999999999997,17.1,12.15,10.0,Medium
S054,Z019,Rajajinagar Indian Oil Pump,12.9923,77.5507,fuel_station,140,0.87,2.5,restricted,Rajajinagar,60.857142857142854,35.765133318347935,38.49119279239715,60.857142857142854,28.000000000000004,87.0,50.0,53.849999999999994,21.299999999999997,7.000000000000001,13.049999999999999,12.5,Needs Field Survey
S055,Z020,Malleswaram Bharat Petroleum Station,13.0099,77.5635,fuel_station,258,0.96,4.0,available,Malleswaram,74.99999999999999,59.372384684358565,62.80324855025665,74.99999999999999,51.6,96.0,80.0,73.54999999999998,26.249999999999993,12.9,14.399999999999999,20.0,High
S056,Z020,Malleswaram Phoenix Marketcity Lot,12.999,77.5809,commercial_complex,367,0.89,2.5,pending_approval,Malleswaram,74.99999999999999,59.372384684358565,62.80324855025665,74.99999999999999,73.4,89.0,50.0,70.44999999999999,26.249999999999993,18.35,13.35,12.5,Medium
S057,Z021,Yeshwanthpur Prestige Apartments Gate,13.0182,77.5554,residential_complex,50,0.73,1.0,available,Yeshwanthpur,30.285714285714285,13.520152945923614,14.609623836341314,30.285714285714285,10.0,73.0,20.0,29.049999999999997,10.6,2.5,10.95,5.0,Needs Field Survey
S058,Z021,Yeshwanthpur Prestige Apartments Gate,13.0308,77.561,residential_complex,136,0.57,3.8,pending_approval,Yeshwanthpur,30.285714285714285,13.520152945923614,14.609623836341314,30.285714285714285,27.200000000000003,56.99999999999999,76.0,44.949999999999996,10.6,6.800000000000001,8.549999999999999,19.0,Medium
S059,Z022,Tumkur Road Sobha Dream Acres Lot,13.0715,77.5186,residential_complex,159,0.71,3.4,pending_approval,Tumkur Road,28.71428571428571,9.158203785298282,9.611020402675326,28.71428571428571,31.8,71.0,68.0,45.65,10.049999999999999,7.95,10.65,17.0,Medium
S060,Z022,Tumkur Road Metro Parking Lot,13.069,77.5081,parking_lot,138,0.74,5.0,available,Tumkur Road,28.71428571428571,9.158203785298282,9.611020402675326,28.71428571428571,27.6,74.0,100.0,53.05,10.049999999999999,6.9,11.1,25.0,Medium
S061,Z023,Peenya Ring Road Service Area,13.0404,77.5194,highway_node,362,0.98,7.7,available,Peenya,14.428571428571429,5.3059093754848545,5.561258446045569,14.428571428571429,72.39999999999999,98.0,100.0,62.849999999999994,5.05,18.099999999999998,14.7,25.0,Medium
S062,Z023,Peenya Mall Parking Deck,13.0252,77.5237,parking_lot,122,0.83,6.2,available,Peenya,14.428571428571429,5.3059093754848545,5.561258446045569,14.428571428571429,24.4,83.0,100.0,48.599999999999994,5.05,6.1,12.45,25.0,Medium
S063,Z024,Dasarahalli Ring Road Service Area,13.0493,77.5176,highway_node,500,0.81,3.5,available,Dasarahalli,34.0,16.458293631805205,17.54324483012942,34.0,100.0,81.0,70.0,66.55,11.899999999999999,25.0,12.15,17.5,Medium
S064,Z025,Kengeri Sobha Dream Acres Lot,12.917,77.4728,residential_complex,85,0.66,3.9,pending_approval,Kengeri,70.85714285714285,44.170932780982206,47.27435653416011,70.85714285714285,17.0,66.0,78.0,58.449999999999996,24.799999999999994,4.25,9.9,19.5,Needs Field Survey
S065,Z026,Uttarahalli Purva Skydale Bay,12.8883,77.5297,residential_complex,67,0.55,1.0,pending_approval,Uttarahalli,49.14285714285713,26.96193437924231,29.48131949057199,49.14285714285713,13.4,55.00000000000001,20.0,33.8,17.199999999999996,3.35,8.25,5.0,Needs Field Survey
S066,Z026,Uttarahalli Namma Metro Hub,12.8874,77.5395,metro_station,279,0.81,2.8,available,Uttarahalli,49.14285714285713,26.96193437924231,29.48131949057199,49.14285714285713,55.800000000000004,81.0,55.99999999999999,57.3,17.199999999999996,13.950000000000001,12.15,13.999999999999998,Medium
S067,Z027,Mysore Road Mall Parking Deck,12.9612,77.488,parking_lot,246,0.59,1.7,pending_approval,Mysore Road,20.57142857142857,5.554185448262675,5.943444944055634,20.57142857142857,49.2,59.0,34.0,36.85,7.199999999999998,12.3,8.85,8.5,Medium
S068,Z028,Bannerghatta Road Brigade Gateway,12.8883,77.6001,commercial_complex,226,0.89,1.0,available,Bannerghatta Road,17.71428571428571,5.767209845849805,6.046219048122353,17.71428571428571,45.2,89.0,20.0,35.85,6.199999999999998,11.3,13.35,5.0,Medium
S069,Z028,Bannerghatta Road Bharat Petroleum Station,12.8675,77.5972,fuel_station,181,0.85,3.2,restricted,Bannerghatta Road,17.71428571428571,5.767209845849805,6.046219048122353,17.71428571428571,36.199999999999996,85.0,64.0,44.0,6.199999999999998,9.049999999999999,12.75,16.0,Needs Field Survey
S070,Z029,Electronic City Phase 2 Metro East Exit Plaza,12.8257,77.6732,metro_station,290,0.94,3.0,available,Electronic City Phase 2,17.857142857142854,6.726848925384726,7.1292948671045915,17.857142857142854,57.99999999999999,94.0,60.0,49.849999999999994,6.249999999999998,14.499999999999998,14.1,15.0,Medium
S071,Z030,Bommanahalli HP Fuel Station,12.887,77.6475,fuel_station,261,0.98,1.7,available,Bommanahalli,66.85714285714286,39.69184922309033,42.84556652082051,66.85714285714286,52.2,98.0,34.0,59.650000000000006,23.4,13.05,14.7,8.5,Medium
S072,Z031,Devanahalli Indian Oil Pump,13.2452,77.7164,fuel_station,166,0.96,1.5,available,Devanahalli,19.0,5.645674227420971,6.545762365116688,19.0,33.2,96.0,30.0,36.849999999999994,6.6499999999999995,8.3,14.399999999999999,7.5,Medium
S073,Z031,Devanahalli Highway Rest Stop,13.2503,77.713,highway_node,404,0.84,3.2,pending_approval,Devanahalli,19.0,5.645674227420971,6.545762365116688,19.0,80.80000000000001,84.0,64.0,55.45,6.6499999999999995,20.200000000000003,12.6,16.0,Medium
S074,Z032,Nelamangala Prestige Apartments Gate,13.0941,77.3852,residential_complex,114,0.5,1.4,available,Nelamangala,33.42857142857142,13.410698427167134,14.22416864493707,33.42857142857142,22.8,50.0,27.999999999999996,31.9,11.699999999999998,5.7,7.5,6.999999999999999,Medium
S075,Z032,Nelamangala Highway Rest Stop,13.0932,77.3838,highway_node,362,0.81,2.7,available,Nelamangala,33.42857142857142,13.410698427167134,14.22416864493707,33.42857142857142,72.39999999999999,81.0,54.0,55.449999999999996,11.699999999999998,18.099999999999998,12.15,13.5,Medium
S076,Z033,Anekal Prestige Apartments Gate,12.7146,77.7078,residential_complex,71,0.74,1.9,available,Anekal,28.57142857142857,14.514043427603935,15.211612644145285,28.57142857142857,14.2,74.0,38.0,34.15,9.999999999999998,3.55,11.1,9.5,Needs Field Survey
S077,Z033,Anekal Phoenix Marketcity Lot,12.7171,77.7042,commercial_complex,369,0.73,3.0,restricted,Anekal,28.57142857142857,14.514043427603935,15.211612644145285,28.57142857142857,73.8,73.0,60.0,54.39999999999999,9.999999999999998,18.45,10.95,15.0,Needs Field Survey
S078,Z034,Varthur Metro Parking Lot,12.9468,77.7384,parking_lot,130,0.65,3.8,available,Varthur,58.857142857142854,35.17655096958143,40.882473383259665,58.857142857142854,26.0,65.0,76.0,55.849999999999994,20.599999999999998,6.5,9.75,19.0,Medium
S079,Z035,Domlur Purva Skydale Bay,12.9617,77.6471,residential_complex,142,0.44,1.7,available,Domlur,54.28571428571428,35.54431607783324,38.233221877166216,54.28571428571428,28.4,44.0,34.0,41.199999999999996,18.999999999999996,7.1,6.6,8.5,Medium
S080,Z035,Domlur HP Fuel Station,12.9562,77.6318,fuel_station,143,0.98,3.4,available,Domlur,54.28571428571428,35.54431607783324,38.233221877166216,54.28571428571428,28.599999999999998,98.0,68.0,57.849999999999994,18.999999999999996,7.1499999999999995,14.7,17.0,Medium
